assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_exogenous_attributable,wait_fraction,wall_clock_s,yield_wait_steps
0,195,0,0,0,priority,195,0,,solver_sensitivity,4,204,cbsh2,True,20,random_walk,24,0,102.0,astar,1058,1921,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",334.0,108.59097598586231,26.957548457809025,137.74871794871794,32.76024248728337,136.26153846153846,129.0,lifelong,0,25,50,154.18217524420467,54.327401312184506,10,1262,f9be83ae9e23047136f2570ffd469d0a6237a507bcfdff8c7d8a188bf0e73361,87,1,122.5,245,4,0,0,10.0,0,ok,2000,26571,conflict_aware,0.9948979591836735,0.0975,2000,196,691,0,245,0.01382,56.7643,604
0,195,0,0,0,priority,195,0,,solver_sensitivity,4,203,cbsh2,True,20,random_walk,22,0,101.5,astar,1079,1961,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",433.0,93.54955703020096,27.098619043128565,149.52307692307693,35.21964722714419,146.33333333333334,146.0,lifelong,0,25,50,132.82844348868818,56.71000028378326,10,1282,4720e4dadef5d0f86e4ae5fe0a595ee17d37aff0b12df175b1571a2133755ca3,30,1,128.5,257,7,0,0,10.0,0,ok,2000,28535,conflict_aware,0.9798994974874372,0.0975,2000,199,1310,0,257,0.0262,57.1026,1280
0,193,0,0,0,priority,193,0,,solver_sensitivity,4,202,cbsh2,True,20,random_walk,25,0,101.0,astar,1083,1984,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",344.0,65.87937497533858,27.415382158447756,146.75129533678756,33.25676584459546,145.31088082901553,145.0,lifelong,0,25,50,151.58171497459986,52.24698605888989,10,1285,a7ac6441b44e1c6339e84b1def89eef7b49119d797ec786cd721bb980c1196be,35,1,146.0,292,5,0,0,10.0,0,ok,2000,28045,conflict_aware,0.9897435897435898,0.0965,2000,195,901,0,292,0.01802,57.756,866
0,185,0,0,0,priority,185,0,,solver_sensitivity,4,200,cbsh2,True,20,random_walk,43,0,100.0,astar,924,1941,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",586.0,90.13909997884184,27.772626651334576,141.84864864864866,32.65305034874473,141.36756756756756,130.0,lifelong,0,25,50,160.8804150891956,52.922425823635415,10,1124,4fa3292520f7c4a8d50f1892032171b2b33756638444719438aeb67b944210dd,62,1,155.5,311,1,0,0,10.0,0,ok,2000,26153,conflict_aware,0.9893048128342246,0.0925,2000,187,1483,0,311,0.02966,58.6219,1421
0,188,0,0,0,priority,188,0,,solver_sensitivity,4,201,cbsh2,True,20,random_walk,26,0,100.5,astar,1006,1972,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",758.0,62.88421695353463,28.01874248459353,137.99468085106383,31.045420996240104,137.3244680851064,130.0,lifelong,0,25,50,164.84025249374093,50.99786096252501,10,1207,4df6aff0feb2ffeb0fcb56ea1393665a264686ff7fd3dedc285d16bea76f1e9d,84,1,136.0,272,3,0,0,10.0,0,ok,2000,25817,conflict_aware,0.9947089947089947,0.094,2000,189,1620,0,272,0.0324,59.1105,1536
0,204,0,0,0,priority,204,0,,solver_sensitivity,4,201,cbsh2,True,20,random_walk,48,0,100.5,astar,1137,1983,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",304.0,10309.028885967564,33.85041682730662,147.67156862745097,86.47464379692562,143.39705882352942,144.0,lifelong,0,25,50,144.1110815736464,53.82339999778196,10,1338,1b1867419500e89ecce4350332b64b4022eb69623ad94305d51c2e5242848433,98,1,194.5,389,8,1,0,10.0,0,ok,2000,29253,conflict_aware,0.9951219512195122,0.102,2000,205,791,0,389,0.01582,70.7996,693
0,387,0,0,0,priority,387,0,,solver_sensitivity,4,274,cbsh2,True,20,random_walk,66,0,137.0,astar,3494,1870,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",179.0,10322.714722016826,41.19538371352246,67.68992248062015,164.70467377123492,67.31266149870801,65.0,lifelong,0,25,50,77.55669168254826,26.034331839764487,10,3768,c78fb4174b18a65faee010dda22283233ec6c8ccc28722e1f0b5e29dd4edaa99,320,1,429.5,859,9,4,0,10.0,0,ok,2000,26050,conflict_aware,1.0,0.1935,2000,387,720,0,859,0.0144,82.6623,400
0,197,0,0,0,priority,197,0,,solver_sensitivity,4,200,cbsh2,True,20,random_walk,47,0,100.0,astar,1004,1972,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",411.0,12318.763078015763,39.83856599990395,132.16751269035532,146.5843261507689,131.91370558375635,123.0,lifelong,0,25,50,160.85191715101243,52.66257268667683,10,1204,0ec4604f59c257a0d161b734590bd0cb44672abef0182443ea420752f116114d,79,1,142.0,284,9,2,0,10.0,0,ok,2000,25987,conflict_aware,0.985,0.0985,2000,200,1386,0,284,0.02772,82.8281,1307
0,383,0,0,0,priority,383,0,,solver_sensitivity,4,254,cbsh2,True,20,random_walk,91,0,127.0,astar,3330,1927,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",202.0,10938.016261032317,42.09447325314977,67.33681462140993,184.48884586765115,67.09138381201045,64.0,lifelong,0,25,50,83.37082041543908,25.499382967245765,10,3584,6188decbcdb1e3370fcc295499c87e0f8cca36cff5f27fde9fc2f8466c53ebfe,345,1,469.5,939,5,4,0,10.0,0,ok,2000,25696,conflict_aware,1.0,0.1915,2000,383,850,0,939,0.017,84.4602,505
0,224,0,0,0,priority,224,0,,solver_sensitivity,4,201,cbsh2,True,20,random_walk,49,0,100.5,astar,1150,1927,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",427.0,12634.415384032764,40.693794220045675,128.84375,146.41430009844532,128.24107142857142,120.5,lifelong,0,25,50,156.8461811140878,52.89483501110226,10,1351,7359f64f3b20e61ee94e57c58ab5cb2d59328cfc0a780194413e223b53af0985,72,1,162.5,325,2,2,0,10.0,0,ok,2000,28726,conflict_aware,0.9955555555555555,0.112,2000,225,480,0,325,0.0096,84.4831,408
0,364,0,0,0,priority,364,0,,solver_sensitivity,4,252,cbsh2,True,20,random_walk,81,0,126.0,astar,3356,1884,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",186.0,10757.608242041897,45.98903339190292,67.3021978021978,221.89508012790668,67.13736263736264,63.0,lifelong,0,25,50,80.91620092163794,28.12335039197933,10,3608,da10a06c0760013ef95b0253951754075179fb60c04e7c70c25cf887c1a471f8,290,1,437.0,874,1,5,0,10.0,0,ok,2000,24438,conflict_aware,1.0,0.182,2000,364,860,0,874,0.0172,92.2383,570
0,377,0,0,0,priority,377,0,,solver_sensitivity,4,251,cbsh2,True,20,random_walk,75,0,125.5,astar,3477,1925,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",243.0,10632.626210979652,46.02567346426076,68.57559681697613,222.6316086369088,67.78779840848806,66.0,lifelong,0,25,50,80.61566779797431,28.084539022529498,10,3728,c272d095bb8d17380a927109a4e30f77d636a02c062b93551bfd1afc331d3857,271,1,472.5,945,7,5,0,10.0,0,ok,2000,25556,conflict_aware,1.0,0.1885,2000,377,972,0,945,0.01944,92.3219,701
0,189,0,0,0,priority,189,0,,solver_sensitivity,4,202,cbsh2,True,20,random_walk,39,0,101.0,astar,1158,1918,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",372.0,13916.737613035366,47.615301112033194,135.42857142857142,214.93564600252896,132.88888888888889,128.0,lifelong,0,25,50,161.85723071394017,57.57089751714375,10,1360,69fb588e043a865b6872e8a57d6a1ede374009abbdb3908f1fb1ecb97df94216,56,1,170.0,340,0,3,0,10.0,0,ok,2000,25116,conflict_aware,0.9792746113989638,0.0945,2000,193,1175,0,340,0.0235,98.1866,1119
0,361,0,0,0,priority,361,0,,solver_sensitivity,4,255,cbsh2,True,20,random_walk,78,0,127.5,astar,3373,1899,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",205.0,10356.273851997685,56.273488632112276,69.07479224376732,294.611129105575,68.40443213296399,65.0,lifelong,0,25,50,85.81790044845548,28.867141099181023,10,3628,5d800f1882dfe771dbc09be4de9265c2b63fcfd0a7759db519c7753b333568be,343,1,542.5,1085,0,7,0,10.0,0,ok,2000,24694,conflict_aware,1.0,0.1805,2000,361,716,0,1085,0.01432,112.8193,373
0,384,0,0,0,priority,384,0,,solver_sensitivity,4,250,cbsh2,True,20,random_walk,72,0,125.0,astar,3364,1961,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",246.0,10648.75440497417,71.41667306402815,67.90625,429.652800347656,67.24739583333333,64.5,lifelong,0,25,50,79.26259497180581,30.790725754923134,10,3614,5f463234472a4308a9d609a14e03d9d839ab8d77bf06c1538361f678de0926b6,333,1,447.5,895,3,10,0,10.0,0,ok,2000,25823,conflict_aware,1.0,0.192,2000,384,984,0,895,0.01968,143.1369,651
0,383,0,0,0,priority,383,0,,solver_sensitivity,4,271,cbsh2,True,20,random_walk,100,0,135.5,astar,3826,1870,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",235.0,10817.634895967785,72.16697877444676,72.00783289817232,400.85294120429546,71.30809399477806,69.0,lifelong,0,25,50,76.99444427562412,32.46663897880353,10,4097,47c60ab1be208f9469c9e62b844ecf952d83771d14bbe09d75a691f251e302c9,359,1,513.0,1026,4,10,0,10.0,0,ok,2000,27311,conflict_aware,1.0,0.1915,2000,383,754,0,1026,0.01508,144.6058,395
0,409,0,0,0,priority,409,0,,solver_sensitivity,4,293,cbsh2,True,20,random_walk,73,0,146.5,astar,4026,1880,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",183.0,11106.955148978159,72.93439456884516,71.27872860635696,372.80693355015615,71.18092909535453,67.0,lifelong,0,25,50,72.01832024147734,30.458027985878246,10,4319,3bf7da8777832c3868a7ee5594dbd1f42f035a3320c4ee23ad536c5b1823fe60,419,1,472.0,944,2,10,0,10.0,0,ok,2000,29113,conflict_aware,1.0,0.2045,2000,409,829,0,944,0.01658,146.1597,410
0,381,0,0,0,priority,381,0,,solver_sensitivity,4,200,cbsh2,True,20,random_walk,64,0,100.0,astar,2028,1982,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",542.0,135.86533803027123,77.11596643467783,137.38845144356955,59.17315851984313,137.06036745406823,125.0,lifelong,0,50,50,367.62153996096447,103.80808614427222,10,2228,7256dc06e7b1c57b0f23ebb17caf6679ac204633f9fbb0b70cdcf60165261531,208,1,315.5,631,0,0,0,10.0,0,ok,2000,52220,conflict_aware,0.9844961240310077,0.1905,2000,387,3315,0,631,0.03315,160.1307,3107
0,389,0,0,0,priority,389,0,,solver_sensitivity,4,260,cbsh2,True,20,random_walk,80,0,130.0,astar,3450,1870,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",145.0,11196.948273049202,82.8306868065556,66.59897172236504,497.4678401783771,66.0771208226221,65.0,lifelong,0,25,50,79.13172340486199,33.53564988938155,10,3710,183ab7a444b387e5336a0a19af27fd0872cbd7e66fcd37d99c442a44a2338339,267,1,453.0,906,8,12,0,10.0,0,ok,2000,25704,conflict_aware,1.0,0.1945,2000,389,728,0,906,0.01456,165.9258,461
